_ - ,_ - voce/entry,_ - titolo/title,_ - sottitolo/subtitle,_ - autore/author,ids_authors,_ - genere/genre,_ - metro/mode,_ - luogo di pubblicazione/city,ids_city,_ - luogo di rappresentazione/location,ids_location,_ - editore/publisher,ids_publisher,_ - anno/year,_ - formato/format,_ - libretto,_ - compositore/composer,ids_composer,_ - traduzione/translation
10,"ABRAM ET ISAC. Rappresentazione. — senza nota di luogo, Stampatore, e anno. in 4 — d'incerto Autore.",Abram Et Isac,,unknown,Q24238356,Rappresentazione,,N/A,,,,unknown,,0,4,False,,,False
11,"ABRAMO CHE SCACCIA DI CASA SUA AGAR ED ISMAELE. Rappresentazione. — in Ferrara, 1602 in 4 — di Fr. Domenico Vecchi.",Abramo Che Scaccia Di Casa Sua Agar Ed Ismaele,,Domenico Vecchi,Q17142431,Rappresentazione,,Ferrara,Q13362,,,unknown,,1602,4,False,,,False
12,"ABRAMO. Azione Sacra. — in Ven. per Bonifazio Viezzeri, 1733 in 8 — Poesia di Bastiano Biancardi, Napoletano (detto Domenico Lalli).",Abramo,,Bastiano Biancardi,,Azione Sacra,,Venice,Q641,,,Bonifazio Viezzeri,,1733,8,False,,,False
13,"ABRAMO. Dialogo per Musica. — in Palermo. — Poesia di Giuseppe Gennaro, di Palermo.",Abramo,,Giuseppe Gennaro,,Dialogo,,Palermo,Q2656,,,unknown,,0,,True,,,False
14,"ABRAMO. Poema Drammatico. — in Palermo, appresso Giuseppe Bisagni. 1654 in 4 — Poesia di Giuseppe Gangezia, Siciliano.",Abramo,,Giuseppe Gangezia,,Poema Drammatico,,Palermo,Q2656,,,Giuseppe Bisagni,,1654,4,False,,,False
15,"ABRAMO VINCITOR DE' PROPRI AFFETTI. Oratorio. in Bologna, per Bartolommeo recaldini, 1687 in 8— Poesia d'Autore incerto.",Abramo Vincitor De' Propri Affetti,,unknown,Q24238356,Oratorio,,Bologna,Q1891,,,Bartolomeo Recaldini,,1687,8,False,,,False
16,"ABRAMO. Rappresentazione di Abramo, quando Dio gli comandò, che facesse il Sacrifizio sul Monte, d'Isaac suo Figliuolo, la quale si rappresentò la prima volta in Firenze nella Chiesa di S. Maria Maddalena, luogo detto Castelli l'anno 1449. Fu poi più volte stampata in Firenze, ed in Venezia, e per ultimo in Macerata pel Salvioni 1629 4 — Poesia di Feo. (Fabio) Belcari, Fiorentino.",Abramo,,Feo Belcari,Q3068447,Rappresentazione,,Florence,Q2044,Chiesa di Santa Maria Maddalena di Firenze,,unknown,,1449,,False,,,False
17,"ABSALONE, ovvero, la Superbia punita. Oratorio. — in Mantova nella Stamperia Ducale di Giambatista Grana. 1699 in 8 — Poesia d'incerto Autore.",Absalone,La Superbia Punita,unknown,Q24238356,Oratorio,,Mantua,Q6247,,,Stamperia Ducale,,1699,8,False,,,False
18,"ACAMANTE. Tragedia (in prosa) dedicata a Lelia Malaspina Paoletti data di Carpi il di 31. Luglio. Si legge un lungo discorso intor all'Opera sua diretto al Genio d Galantuomini. È di Personaggi trenta. — in Bologna, per Giambattista Ferroni. 1642. in 4. e 12. — di Mario Mazza.",Acamante,,Mario Mazza,,Tragedia,prose,Bologna,Q1891,,,Giambattista Ferroni,,1642,4,False,,,False
19,"ACARNE. Commedia di Aristofane tradotta dal Greco in Lingua comun d'Italia. — in Vinegia, appr. Vincenzo Valgrisi. 1545 in 8 — di Bartolommeo, e Pietro Fratelli Rositini, da Pratalboino.",Acarne,,Bartolomeo e Pietro Rositini,,Commedia,,Venice,Q641,,,Vincenzo Valgrisi,Q4013565,1545,8,False,,,True
20,ACCIDENTI D'AMORE. Commedia (in prosa). in Ven. appresso Angiol Salvadori. 1635. in 12. dal Dot. Fulvio Genga di Fano.,Accidenti D'Amore,,Fulvio Genga,Q102712421,Commedia,prose,Venice,Q641,,,Angelo Salvadori,Q61481881,1635,12,False,,,False
21,"ACCIDENTI BOSCARECCI, ovvero, Pastor Incantato. Favola Pastorale (prosa). — in Ven. appresso Olivier Alberti, 1607 in 12. — di Vermiglio Manerba, da' famiglari de le Muse detto l'Accademico Assediato.",Accidenti Boscarecci,Pastor Incantato,Alessandro Manerba,Q109503956,Favola Pastorale,prose,Venice,Q641,,,Olivier Alberti,,1607,12,False,,,False
22,"ACCIDENTI DEL VITTORIOSO GOFFREDO. Scenario. — in Venezia 1648. in 12. senza nome di Stampatore. — d'Autore incerto. — Si pretende da alcuni, che con detto solo Scenario sia stata fatta la prima recita nel Teatro detto dei Sant'Apostoli, il quale ora più non sussiste.",Accidenti Del Vittorioso Goffredo,,unknown,Q24238356,Scenario,,Venice,Q641,Teatro Santi Apostoli,Q125578099,unknown,,1648,12,False,,,False
23,"ACCOPPIO ARMONICO DI S. CECILIA CON S. FILIPPO NERI. Dramma Musicale cantato la Sera, in cui ricorse la Festa della medesima Santa, e si aprì il nuovo Oratorio di esso in Perugia l'anno 1689. Dedicato a Monsign. Illustrissimo, e Reverendiss. Luc'Alberto Patrizi, Vescovo di essa Città. — in Perugia per il Costantini. 1689 in 4 — Poesia d'incerto Autore.",Accoppio Armonico Di S,,unknown,Q24238356,Dramma Musicale,,Perugia,Q3437,,,Costantini,,1689,4,False,,,False
24,"ACCORDI D'AMORE, E DI FORTUNA. Commedia (in prosa). — in Ven. appr. Gio. Alberti. 1614 in 12. — di Bartolommeo Tacchello, d'Arco.","Accordi D'Amore, E Di Fortuna",,Bartolommeo Tacchello,,Commedia,prose,Venice,Q641,,,Giovanni Alberti,Q112382065,1614,12,False,,,False
25,"A CHI BEN OPERA ANCHE IL SEPOLCRO È FORTUNA. Opera scenica (in prosa). — in Parma, e in Piacenza, per Alberto Pazzoni, e Paolo Monti. 1694. in 8, ed in Bologna nella Stamperia del Longhi. 1695 in 12. — del Dott. Giorgio Ippolito Giorgi.",A Chi Ben Opera Anche Il Sepolcro È Fortuna,,Giorgio Ippolito Giorgi,,Opera scenica,prose,Parma,Q2683,,,Giuseppe Longhi,Q98645100,1695,8,False,,,False
26,"ACHILLE PLACATO. Tragedia rappresentata nel Teatro di San Cassiano di Venezia l'anno 1707 — in Venezia, appresso Marino Rossetti. 1707 in 12. — Poesia di Urbano Rizzi, di Trivigi. — Musica di Antonio Lotti, Veneziano.",Achille Placato,,Urbano Rizzi,,Tragedia,,Venice,Q641,Teatro San Cassiano,Q246429,Marino Rossetti,Q122599209,1707,12,True,Antonio Lotti,Q168345,False
27,"ACHILLE IN SCIRO. Dramma rappresentato l'anno 1663. in Ferrara nel Teatro di Santo Stefano. — in Ferrara, per gli Eredi del Suzzi. 1663. in 12. — Poesia del Marchese Ippolito Bentivoglio, Ferrarese, Patrizio Veneto. — Replicata l'anno 1664. in Venezia nel Teatro di S. Salvatore. in Ven. per Stefano Curti. 1664. in 12. — con la Musica di Giovanni Legrenzi, Bergamasco, Maestro della Cappella Ducale di San Marco. — Replicato nel Teatro Formagliari di Bologna l'anno 1673.",Achille In Sciro,,Ippolito Bentivoglio,Q24205954,Dramma,,Ferrara,Q13362,Teatro Santo Stefano/Bonacossi,,Eredi del Suzzi,,1663,12,True,Giovanni Legrenzi,Q354947,False
,,,,,,,,,,,,unknown,,,,,,,
28,"ACHILLE IN SCIRO. Dramma recitato in Vienna l'anno 1736. per le felicissime Nozze de Sereniss. Principi Maria Teresa Arciduchessa d'Austria, e Francesco III. Duca di Lorena. — in Vienna, appresso Gio. Pietro Van Ghelen. 1736. in 8 — Poesia dell'Ab. Pietro Metastasio, Romano, tra gli Arcadi Artino Corasio. — Musica di Antonio Caldara, Veneziano.",Achille In Sciro,,Pietro Metastasio,Q29473,Dramma,,Vienna,Q1741,,,Johann Peter van Ghelen,Q1695821,1736,8,True,Antonio Caldara,Q311571,False
,,,,,,,,,,,,unknown,,,,,,,
,,,,,,,,,,,,unknown,,,,,,,
,,,,,,,,,,,,unknown,,,,,,,
29,"ACHILLE IN TESSAGLIA. Trattenimento Musicale nel felicissimo dì natalizio del Serenissimo Gioseffo d'Austria l'anno 1681 — in Vienna d'Austria, per Gio. Cristoforo Cosmerovio. 1681 in 4 — Poesia del Co. Niccolò Minato, Bergamasco. — Musica di Antonio Draghi, Ferrarese.",Achille In Tessaglia,,Nicolò Minato,Q1987241,Trattenimento Musicale,,Vienna,Q1741,,,Johann Christoph Cosmerovius,Q104283372,1681,4,True,Antonio Draghi,Q601855,False
,,,,,,,,,,,,unknown,,,,,,,
30,"ACHILLE IN TROIA. Tragedia dedicata all'Alt. Sereniss. di Antonio I. Duca di Parma, e di Piacenza. — in Verona, per Gio. Alberto Tumermanni. 1728 in 4 — Poesia del Co. Giannicola Montanari, di Verona, tra gli Arcadi Dalco Suadeleo.",Achille In Troia,,Giannicola Montanari,,Tragedia dedicata,,Verona,Q2028,,,Giovanni Alberto Tumermanni,,1728,4,False,,,False
31,"ACI. Favola Marittima. — in Venezia, per Giambatista Ciotti. 1660. in 4 — Poesia di Scipione di Manzano.",Aci,,Scipione di Manzano,Q36834676,Favola Marittima,,Venice,Q641,,,Giovanni Battista Ciotti,Q17279972,1660,4,False,,,False
32,"ACQUISTI DEL CIELO. Dialogo. — Poesia di Giuseppe Cafora, di Palermo.",Acquisti Del Cielo,,Giuseppe Cafora,,Dialogo,,,,,,unknown,,0,,False,,,False
33,"ACQUISTO SACRO DEL SANTO SEPOLCRO. Opera Drammatica. — in Padova per il Pasquati. 1657 in 4 — Poesia di Anselmo Marconi, Romano, Cancell. dell'Accademia de' Ricovrati di Padova.",Acquisto Sacro Del Santo Sepolcro,,Anselmo Marconi,,Opera Drammatica,,Padua,Q617,,,Pasquati,,1657,4,False,,,False
34,"ACRIPANDA. Tragedia. — in Firenze, per il Sermatelli. 1591 in 8 — in Venezia, per Paolo Ugolino. 1592. in 12. — ivi, per Pietro Bertano. 1610 in 12. — ed in Vicenza, appresso Francesco Grossi. 1617. in 12— Poesia di Antonio Decio, da Orte.",Acripanda,,Antonio Decio,Q42941837,Tragedia,,Florence,Q2044,,,Bartolomeo II Sermartelli,Q107123511,1591,8,False,,,False
35,"ACRISIO. Favola Boschereccia in Siena, per Silvestro Marchetti. 1606. in 8 — Poesia di Marzio Bartolini, di Arcidosso, Accad. Filomato.",Acrisio,,Marzio Bartolini,,Favola Boschereccia,,Siena,Q2751,,,Silvestro Marchetti,Q118733458,1606,8,False,,,False
36,"ADALBERTO, ovvero, La forza dell'astuzia Femminile. Dramma alle Augustissime Maestà Cesaree, nel Carnevale dell'anno 1697 — in Vienna d'Austria, appresso Susanna Cristina Vedova di Matteo Cosmerovio. 1697 in 8 — Poesia del Co. Niccolò Minato, Bergamasco. — Musica di Antonio Draghi, Ferrarese.",Adalberto,La Forza Dell'Astuzia Femminile,Nicolò Minato,Q1987241,Dramma alle,,Vienna,Q1741,,,Susanna Christina Cosmerovius,Q106080028,1697,8,True,Antonio Draghi,Q601855,False
,,,,,,,,,,,,unknown,,,,,,,
37,"ADALINDA, o siano Gl'Inganni Innocenti. Rappresentata nella Città di Bologna l'anno 1675. d'incerto Autore.",Adalinda,No Gl'Inganni Innocenti,unknown,Q24238356,?,,,,,,unknown,,1675,,False,,,False
38,"ADAMIRA, ovvero, la Statua dell'Onore. Opera Scenica (in prosa). — in Ven. appr. Giacomo Batti. / 1657. in 12. — in Perugia, per Sebastian Zecchini, 1659. in 12. — in Venez. per il Pezzana 1662 in 12. — ed in Bologna, per Giacomo Monti. Senz'anno. in 12. E la stessa che l'Amore nella Statua, di Giacinto Andrea Cicognini, Fiorentino.",Adamira,La Statua Dell'Onore,,,Opera Scenica,prose,Venice,Q641,,,Niccolò Pezzana,Q3875883,0,12,False,,,False
39,"ADAMIRO. Dramma. — Poesia di Baldissera Pisani, Napoletano.",Adamiro,,Baldassarre Pisani,Q3633259,Dramma,,,,,,unknown,,0,,False,,,False
40,"ADAMIRO. Dramma recitato in Santa Margarita di Treviso l'anno 1687. In Trevigi, Per Pasqualin da Ponte. 1686. in 12. — Poesia d'incerto Autore.",Adamiro,,unknown,Q24238356,Dramma,,Treviso,Q5475,,,Pasqualino da Ponte,,1687,12,False,,,False
41,"ADAMO in Perugia, per il Bartoli. 1641. in 12. — Poesia di Giambatista Andreini, Fiorentino.","Adamo In Perugia, Per Il Bartoli",,Giambattista Andreini,Q1134183,1641,,Perugia,Q3437,,,Bartoli,,1641,12,False,,,False
42,"ADAMO CADUTO. Tragedia Sacra. in Cossenza, per Giambatista Moro, e Francesco Rodella. 1647 in 8 — Poesia di F. Seraffino della Salandra, Predicat. Lett. e Diffinit. della Provincia Riformata di Basilicata.",Adamo Caduto,,Serafino della Salandra,Q28793950,Tragedia Sacra,,Cosenza,Q13619,,,Giovanni Battista Moro,,1647,8,False,,,False
43,"ADARCONTE. Tragedia (in prosa). — in Roma, per Michiel Ercole. 1676.",Adarconte,,N/A,Q929804,Tragedia,prose,Rome,Q220,,,Michele Ercole,Q110225967,1676,,False,,,False
44,"ADELAIDE. Commedia (in prosa) rappresentata dagli Accademici Infuocati alla Sereniss. Violante Beatrice di Baviera, Principessa di Toscana. — in Firenze, per Vincenzo Vangelisti. 1689. in 12. — di Autore incerto.",Adelaide,,unknown,Q24238356,Commedia,prose,Florence,Q2044,,,Vincenzo Vangelisti,,1689,12,False,,,False
45,"ADELAIDE. Dramma rappresentato nel Teatro di San Salvatore di Venezia l'anno 1672 — in Ven. appresso Francesco Nicolimi. 1672 in 12. — Poesia di Pietro Dolfino, Patrizio Veneto. — Musica di Antonio Sartorio, Veneziano, Vice Maestro della Cappella Ducale di S. Marco.",Adelaide,,Pietro Dolfin,Q55946467,Dramma,,Venice,Q641,Teatro Goldoni,Q3982376,Francesco Niccolini,,1672,12,True,Antonio Sartorio,Q605062,False
,,,,,,,,,,,,unknown,,,,,,,
46,"ADELAIDE. Dramma rappresentato in Firenze nel Teatro di Via del Cocomero l'anno 1725 — in Firenze nella Stamperia di S. A. R. per li Tartini, e Franchi. 1725 in 8 — Poesia del Dottor Antonio Salvi, Fiorentino. Replicato l'anno stesso nel Teatro Formagliari di Bologna. — Musica di Giuseppe Maria Buini, Bolognese, e di altri ed in Venezia nel Teatro di S. Cassiano l'anno 1729. In Venezia appr. Marino Rossetti. 1729 in 12. — Musica di Giuseppe Maria Orlandini, Bolognese.",Adelaide,,Antonio Salvi,Q604920,Dramma,,Florence,Q2044,Teatro Niccolini,Q3982074,Giuseppe Tartini,Q108555,1725,8,True,Giuseppe Maria Buini,Q16571741,False
,,,,,,,,,,,,unknown,,,,,,,
,,,,,,,,,,,,unknown,,,,,,,
,,,,,,,,,,,,unknown,,,,,,,
47,"ADELAIDE REGIA PRINCIPESSA DI SUSA. Dramma rappresentato avanti l'Alt. Elettorale del Sereniss. Ferdinando Maria Duca dell'una, e dell'altra Baviera, &c. &c. l'anno 1669. in 4 — Poesia di Giambatista Rodoteo, Veneziano. — Replicato in Venezia nel teatro alli Saloni l'anno 1670. In Ven. per li Bertanni, 1670. in 12. — Musica di Giulio Riva, Medico Veneziano. — Questo. è il primo Dramma, che si sia recitato in quel Teatro.",Adelaide Regia Principessa Di Susa,,Giovanni Battista Rodoteo,Q76446342,Dramma,,Venice,Q641,,,Bertani,,1669,4,True,Giovanni Battista Rodoteo,Q76446342,False
,,,,,,,,,,,,unknown,,,,,,,
48,"ADELAIDE. Tragedia (in prosa) — in Modona, per Bartolommeo Soliani. 1711 in 8 — del Dott. Alfonso Cavazzi, Modonese.",Adelaide,,Alfonso Cavazzi,Q109838273,Tragedia,prose,Modena,Q279,,,Bartolomeo Soliani II,Q122599216,1711,8,False,,,False
49,"ADELFI. Commedia di Terenzio di latino in volgare tradotta (in prosa) in Ven. per Jacob da Borgo Franco Pavese del Mese di Marzo 1538. in 8. con le altre cinque, del medesimo Autore. — d'Incerto.",Adelfi,,unknown,Q24238356,Commedia,prose,Venice,Q641,,,Jacob da Borgo Franco Pavese,,1538,8,False,,,True
50,"ADELFI. Commedia di Terenzio tradotta in Lingua Italiana (in prosa) in Ven. senza Stampatore, 1538. in 12. — con le altre cinque del medesimo Autore. — d'Incerto.",Adelfi,,unknown,Q24238356,Commedia,prose,Venice,Q641,,,unknown,,1538,12,False,,,True
51,"ADELFI. Commedia di Terenzio tradotta già in Italiano (in prosa) unita alle altre dello stesso Terenzio emendate, e corrette dalli Manucci Figliuoli di Aldo. — in Ven. nelle Case de Figliuoli di Aldo Manuccio. 1544. e 1546. in 8 — d'Incerto.",Adelfi,,unknown,Q24238356,Commedia,prose,Venice,Q641,,,unknown,,1544,8,False,,,True
52,"ADELFI. Commedia di Terenzio tradotta in Italiano (in prosa). — in Ven. presso il Giolito. 1554 in 12. — di Alberto Lollio, Ferrarese.",Adelfi,,Alberto Lollio,Q44814629,Commedia,prose,Venice,Q641,,,Gabriele Giolito de' Ferrari,Q1490296,1554,12,False,,,True
53,"ADELFI. Commedia di Terenzio tradotta in lingua Italiana (in prosa) con ispiegazioni, e comenti, e con le altre cinque di Terenzio. — in Venezia 1575 in 4 — di Giovanni Fabrini di Figline.",Adelfi,,Giovanni Fabrini,Q3767184,Commedia,prose,Venice,Q641,,,unknown,,1575,4,False,,,True
54,"ADELFI. Commedia di Terenzio tradotta (in verso). — In Roma, per Bartolommeo Zanetti. 1612 in 12. — Poesia di Cristoforo Rosario, di Spoletti.",Adelfi,,Cristoforo Rosario,,Commedia,,Rome,Q220,,,Bartolomeo Zanetti,Q59533189,1612,12,False,,,True
55,"ADELFI. Commedia di Terenzio tradotta (in verso) in Urbino, alle spese di Girolamo Mainnodi. 1736. fol. con il latino di rinçontro. — Poesia di Monsign. Niccolò Fortiguerra, di Pistoia.",Adelfi,,Niccolò Forteguerri,Q3339581,Commedia,,Urbino,Q2759,,,unknown,,1736,,False,,,True
56,"ADMETO. Tragedia recitata in Bologna l'anno 1626. nella Sala dell'Autore. — in Bologna, per gli Eredi del Rossi, 1629 in 12. — Ed ivi, per il Tebaldini. 1634 in 12. — Poesia dell'Accademico Caliginoso, cioè, Melchior Zoppio, Bolognese.",Admeto,,Melchiorre Zoppio,Q3304995,Tragedia,,Bologna,Q1891,,,Eredi del Rossi,,1629,12,False,,,False
57,"ADOALDO FURIOSO. Dramma rappresentato nel Teatro di S. Mosè di Venezia l'anno 1707 — in Ven. per Carlo Buonarrigo. 1727 in 12. — Poesia di Antonio Maria Lucchini, Veneziano. — Musica di Giacomo Macani, Romano.",Adoaldo Furioso,,Antonio Maria Lucchini,Q328132,Dramma,,Venice,Q641,Teatro San Moisè,Q2575251,Carlo Buonarrigo,,1727,12,True,Giacomo Macani,,False
58,"ADONE. Favola Tragica Boschereccia. in Genova, per Pietro Gio. Calenzano, e Gio. Maria Faroni. 1636. in 12. — Poesia di Vincenzo Renieri, Accademico Filomato.",Adone,,Vincenzo Renieri,,Favola Tragica,,Genoa,Q1449,,,Pietro Giovanni Calenzano,Q109835894,1636,12,False,,,False
59,"ADONE. Pastorale Drammatica. — in Napoli, per Tarquinio Longo. 1614. in 4. con le altre Poesie dell'Autore— Poesia di Marcello—Macedonio.",Adone,,Marcello Macedonio,Q30137259,Pastorale Drammatica,,Naples,Q2634,,,Tarquinio Longo,Q109279668,1614,4,False,,,False
60,"ADONE. Tragedia Musicale rappresentata in Venezia nel Teatro de' SS. Gio. e Paolo. — in Ven. per il Sarzina. 1640 in 12. — Poesia di Paolo Vendramino, Patrizio Veneto. — Musica di Claudio Monteverde, Veneziano, Maestro della Cappella Ducale di S. Marco.",Adone,,Paolo Vendramino,,Tragedia Musicale,,Venice,Q641,Teatro Santi Giovanni e Paolo,Q3982137,Giacomo Sarzina,Q122599211,1640,12,True,Claudio Monteverdi,Q53068,False
,,,,,,,,,,,,unknown,,,,,,,
,,,,,,,,,,,,unknown,,,,,,,
,,,,,,,,,,,,unknown,,,,,,,
,,,,,,,,,,,,unknown,,,,,,,
,,,,,,,,,,,,unknown,,,,,,,
,,,,,,,,,,,,unknown,,,,,,,
,,,,,,,,,,,,unknown,,,,,,,
,,,,,,,,,,,,unknown,,,,,,,
61,"ADONE IN CIPRO. Dramma rappresentato l'anno 1676. in Venez. nel Teatro di S. Salvatore. — in Ven. per Gio. Francesco Valvasense. 1676. in 12. — Poesia del Dott. Gianmatteo Giannini, Veneziano. — Musica di D. Giovanni Legrenzi, Veneziano.",Adone In Cipro,,Gian Matteo Giannini,Q102287216,Dramma,,Venice,Q641,Teatro Goldoni,Q3982376,Giovanni Francesco Valvasense,Q112527999,1676,12,True,Giovanni Legrenzi,Q354947,False
,,,,,,,,,,,,unknown,,,,,,,
62,"ADORAZIONE DE' MAGI. Opera Drammatica. — in Firenze, nella Stamperia di Filippo Popiri, e Franc. Sabbatini. 1642 in 12. — Poesia di Alessandro Adimari, Fiorentino.",Adorazione De' Magi,,Alessandro Adimari,Q3609797,Opera Drammatica,,Florence,Q2044,,,Filippo Popiri,,1642,12,False,,,False
63,"ADORAZIONE DE' MAGI. Dramma Musicale. — in Ven. appr. Angiolo Bosio, e Zaccheria Conzatti, 1676. in 12. con le Poesie postume dell'Autore. — Poesia di Antonio Abati, di Ugubbio.",Adorazione De' Magi,,Antonio Abati,Q599437,Dramma Musicale,,Venice,Q641,,,Angelo Bosio,,1676,12,False,,,False
64,"ADRASTO. Tragedia (in prosa). — in Palermo, appresso Bua, e Camagna. 1669 in 8 — di Giuseppe Tristaino, Siciliano.",Adrasto,,Giuseppe Tristaino,,Tragedia,prose,Palermo,Q2656,,,Bua,,1669,8,False,,,False
65,"ADRASTO, o sia, Dal suo stesso livor la frode oppressa. Opera Scenica (in versi sciolti) rappresentata nel Teatro di San Samuele di Venezia l'anno 1728 — in Ven. appr. Alvise Valvasense. 1728 in 12. — Poesia di L. B. c.8.",Adrasto,Dal Suo Stesso Livor La Frode Oppressa,L. B.,,Opera Scenica,verse,Venice,Q641,Teatro San Samuele,Q1057412,Alvise Valvasense,,1728,12,False,,,False
66,"ADRIA. Dramma Marittimo (in cinque Atti), nel quale si loda la Città di Venezia. — in Roma, per Francesco Gonzaga. 1715. in 8. con le altre Poesie dell'Autore. — Poesia di Pier Jacopo Martello, Bolognese.",Adria,,Pier Jacopo Martello,Q3902896,Dramma Marittimo,,Rome,Q220,,,Francesco Gonzaga,Q64358843,1715,8,False,,,False
67,"ADRIANA. Tragedia (in versi sciolti). in Vinegia, appr. Domenico Farri, 1578. in 12. — ivi, presso Fabio e Agostino Zoppini Fratelli, 1582. e 1586 in 12. — ivi, appr. i Sessa. 1610. in 12. — ivi, appr. Antonio Turrini. 1612 in 12. — in Milano, presso Giambatista Bidelli. 1619. in 12. — ed in Ven. per lo Spineda. 1626. in 12. — Poesia di Luigi Grotto, Cieco di Adria.",Adriana,,Luigi Groto,Q1876177,Tragedia,verse,Venice,Q641,,,Domenico Farri,Q59526386,1586,12,False,,,False
68,"ADRIANO. Tragedia di Giuseppe Squillaci, di Catania.",Adriano,,Giuseppe Squillacci,,Tragedia,,,,,,unknown,,0,,False,,,False
69,"ADRIANO SUL MONTE CASIO. Dramma rappresentato in Vienna d'Austria nel felicissimo dì Natalizio dell'Imper. Leopoldo l'anno 1677. per comando della Imperatrice Eleonora Maddalena Teresa. — in Vienna, per Gio. Cristoforo Cosmerovio. 1677 in 8. — Poesia del Co. Niccolò Minato, Bergamasco. — Musica di Antonio Draghi, Ferrarese.",Adriano Sul Monte Casio,,Nicolò Minato,Q1987241,Dramma,,Vienna,Q1741,,,Johann Christoph Cosmerovius,Q104283372,1677,8,True,Antonio Draghi,Q601855,False
,,,,,,,,,,,,unknown,,,,,,,
