voce/entry,titolo/title,sottitolo/subtitle,autore/author,genere/genre,metro/mode,luogo di pubblicazione/city,luogo di rappresentazione/location,editore/publisher,anno/year,formato/format,libretto,compositore/composer,traduzione/translation
"ACHILLE IN SCIRO. Dramma rappresentato l'anno 1663. in Ferrara nel Teatro di Santo Stefano. — in Ferrara, per gli Eredi del Suzzi. 1663. in 12. — Poesia del Marchese Ippolito Bentivoglio, Ferrarese, Patrizio Veneto. — Replicata l'anno 1664. in Venezia nel Teatro di S. Salvatore. in Ven. per Stefano Curti. 1664. in 12. — con la Musica di Giovanni Legrenzi, Bergamasco, Maestro della Cappella Ducale di San Marco. — Replicato nel Teatro Formagliari di Bologna l'anno 1673.",Achille In Sciro,,"<a href=""https://www.wikidata.org/wiki/Q24205954"">Ippolito Bentivoglio</a>",dramma,,"<a href=""https://www.wikidata.org/wiki/Q13362"">Ferrara</a>",Teatro Santo Stefano/Bonacossi,Eredi del Suzzi,1663,12,True,"<a href=""https://www.wikidata.org/wiki/Q354947"">Giovanni Legrenzi</a>",False
"ACHILLE IN SCIRO. Dramma recitato in Vienna l'anno 1736. per le felicissime Nozze de Sereniss. Principi Maria Teresa Arciduchessa d'Austria, e Francesco III. Duca di Lorena. — in Vienna, appresso Gio. Pietro Van Ghelen. 1736. in 8 — Poesia dell'Ab. Pietro Metastasio, Romano, tra gli Arcadi Artino Corasio. — Musica di Antonio Caldara, Veneziano.",Achille In Sciro,,"<a href=""https://www.wikidata.org/wiki/Q29473"">Pietro Metastasio</a>",dramma,,"<a href=""https://www.wikidata.org/wiki/Q1741"">Vienna</a>",,"<a href=""https://www.wikidata.org/wiki/Q1695821"">Johann Peter van Ghelen</a>",1736,8,True,"<a href=""https://www.wikidata.org/wiki/Q311571"">Antonio Caldara</a>",False
"ACHILLE IN TESSAGLIA. Trattenimento Musicale nel felicissimo dì natalizio del Serenissimo Gioseffo d'Austria l'anno 1681 — in Vienna d'Austria, per Gio. Cristoforo Cosmerovio. 1681 in 4 — Poesia del Co. Niccolò Minato, Bergamasco. — Musica di Antonio Draghi, Ferrarese.",Achille In Tessaglia,,"<a href=""https://www.wikidata.org/wiki/Q1987241"">Nicolò Minato</a>",trattenimento musicale,,"<a href=""https://www.wikidata.org/wiki/Q1741"">Vienna</a>",,"<a href=""https://www.wikidata.org/wiki/Q104283372"">Johann Christoph Cosmerovius</a>",1681,4,True,"<a href=""https://www.wikidata.org/wiki/Q601855"">Antonio Draghi</a>",False
"ACHILLE IN TROIA. Tragedia dedicata all'Alt. Sereniss. di Antonio I. Duca di Parma, e di Piacenza. — in Verona, per Gio. Alberto Tumermanni. 1728 in 4 — Poesia del Co. Giannicola Montanari, di Verona, tra gli Arcadi Dalco Suadeleo.",Achille In Troia,,Giannicola Montanari,tragedia,,"<a href=""https://www.wikidata.org/wiki/Q2028"">Verona</a>",,Giovanni Alberto Tumermanni,1728,4,False,,False
"ACI. Favola Marittima. — in Venezia, per Giambatista Ciotti. 1660. in 4 — Poesia di Scipione di Manzano.",Aci,,"<a href=""https://www.wikidata.org/wiki/Q36834676"">Scipione di Manzano</a>",favola marittima,,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>",,"<a href=""https://www.wikidata.org/wiki/Q17279972"">Giovanni Battista Ciotti</a>",1660,4,False,,False
"ACQUISTI DEL CIELO. Dialogo. — Poesia di Giuseppe Cafora, di Palermo.",Acquisti Del Cielo,,Giuseppe Cafora,dialogo,,,,unknown,0,,False,,False
"ACQUISTO SACRO DEL SANTO SEPOLCRO. Opera Drammatica. — in Padova per il Pasquati. 1657 in 4 — Poesia di Anselmo Marconi, Romano, Cancell. dell'Accademia de' Ricovrati di Padova.",Acquisto Sacro Del Santo Sepolcro,,Anselmo Marconi,opera drammatica,,"<a href=""https://www.wikidata.org/wiki/Q617"">Padua</a>",,Pasquati,1657,4,False,,False
"ACRIPANDA. Tragedia. — in Firenze, per il Sermatelli. 1591 in 8 — in Venezia, per Paolo Ugolino. 1592. in 12. — ivi, per Pietro Bertano. 1610 in 12. — ed in Vicenza, appresso Francesco Grossi. 1617. in 12— Poesia di Antonio Decio, da Orte.",Acripanda,,"<a href=""https://www.wikidata.org/wiki/Q42941837"">Antonio Decio</a>",tragedia,,"<a href=""https://www.wikidata.org/wiki/Q2044"">Florence</a>",,"<a href=""https://www.wikidata.org/wiki/Q107123511"">Bartolomeo II Sermartelli</a>",1591,8,False,,False
"ACRISIO. Favola Boschereccia in Siena, per Silvestro Marchetti. 1606. in 8 — Poesia di Marzio Bartolini, di Arcidosso, Accad. Filomato.",Acrisio,,Marzio Bartolini,favola boschereccia,,"<a href=""https://www.wikidata.org/wiki/Q2751"">Siena</a>",,"<a href=""https://www.wikidata.org/wiki/Q118733458"">Silvestro Marchetti</a>",1606,8,False,,False
"ADALBERTO, ovvero, La forza dell'astuzia Femminile. Dramma alle Augustissime Maestà Cesaree, nel Carnevale dell'anno 1697 — in Vienna d'Austria, appresso Susanna Cristina Vedova di Matteo Cosmerovio. 1697 in 8 — Poesia del Co. Niccolò Minato, Bergamasco. — Musica di Antonio Draghi, Ferrarese.",Adalberto,La Forza Dell'Astuzia Femminile,"<a href=""https://www.wikidata.org/wiki/Q1987241"">Nicolò Minato</a>",dramma,,"<a href=""https://www.wikidata.org/wiki/Q1741"">Vienna</a>",,"<a href=""https://www.wikidata.org/wiki/Q106080028"">Susanna Christina Cosmerovius</a>",1697,8,True,"<a href=""https://www.wikidata.org/wiki/Q601855"">Antonio Draghi</a>",False
"ADALINDA, o siano Gl'Inganni Innocenti. Rappresentata nella Città di Bologna l'anno 1675. d'incerto Autore.",Adalinda,Gl'Inganni Innocenti,"<a href=""https://www.wikidata.org/wiki/Q24238356"">unknown</a>",?,,,,unknown,1675,,False,,False
"ADAMIRA, ovvero, la Statua dell'Onore. Opera Scenica (in prosa). — in Ven. appr. Giacomo Batti. / 1657. in 12. — in Perugia, per Sebastian Zecchini, 1659. in 12. — in Venez. per il Pezzana 1662 in 12. — ed in Bologna, per Giacomo Monti. Senz'anno. in 12. E la stessa che l'Amore nella Statua, di Giacinto Andrea Cicognini, Fiorentino.",Adamira,La Statua Dell'Onore,,opera scenica,prose,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>",,"<a href=""https://www.wikidata.org/wiki/Q3875883"">Niccolò Pezzana</a>",0,12,False,,False
"ADAMIRO. Dramma. — Poesia di Baldissera Pisani, Napoletano.",Adamiro,,"<a href=""https://www.wikidata.org/wiki/Q3633259"">Baldassarre Pisani</a>",dramma,,,,unknown,0,,False,,False
"ADAMIRO. Dramma recitato in Santa Margarita di Treviso l'anno 1687. In Trevigi, Per Pasqualin da Ponte. 1686. in 12. — Poesia d'incerto Autore.",Adamiro,,"<a href=""https://www.wikidata.org/wiki/Q24238356"">unknown</a>",dramma,,"<a href=""https://www.wikidata.org/wiki/Q5475"">Treviso</a>",,Pasqualino da Ponte,1687,12,False,,False
"ADAMO in Perugia, per il Bartoli. 1641. in 12. — Poesia di Giambatista Andreini, Fiorentino.",Adamo,,"<a href=""https://www.wikidata.org/wiki/Q1134183"">Giambattista Andreini</a>",,,"<a href=""https://www.wikidata.org/wiki/Q3437"">Perugia</a>",,Bartoli,1641,12,False,,False
"ADAMO CADUTO. Tragedia Sacra. in Cossenza, per Giambatista Moro, e Francesco Rodella. 1647 in 8 — Poesia di F. Seraffino della Salandra, Predicat. Lett. e Diffinit. della Provincia Riformata di Basilicata.",Adamo Caduto,,"<a href=""https://www.wikidata.org/wiki/Q28793950"">Serafino della Salandra</a>",tragedia sacra,,"<a href=""https://www.wikidata.org/wiki/Q13619"">Cosenza</a>",,Giovanni Battista Moro,1647,8,False,,False
"ADARCONTE. Tragedia (in prosa). — in Roma, per Michiel Ercole. 1676.",Adarconte,,"<a href=""https://www.wikidata.org/wiki/Q929804"">nan</a>",tragedia,prose,"<a href=""https://www.wikidata.org/wiki/Q220"">Rome</a>",,"<a href=""https://www.wikidata.org/wiki/Q110225967"">Michele Ercole</a>",1676,,False,,False
"ADELAIDE. Commedia (in prosa) rappresentata dagli Accademici Infuocati alla Sereniss. Violante Beatrice di Baviera, Principessa di Toscana. — in Firenze, per Vincenzo Vangelisti. 1689. in 12. — di Autore incerto.",Adelaide,,"<a href=""https://www.wikidata.org/wiki/Q24238356"">unknown</a>",commedia,prose,"<a href=""https://www.wikidata.org/wiki/Q2044"">Florence</a>",,Vincenzo Vangelisti,1689,12,False,,False
"ADELAIDE. Dramma rappresentato nel Teatro di San Salvatore di Venezia l'anno 1672 — in Ven. appresso Francesco Nicolimi. 1672 in 12. — Poesia di Pietro Dolfino, Patrizio Veneto. — Musica di Antonio Sartorio, Veneziano, Vice Maestro della Cappella Ducale di S. Marco.",Adelaide,,"<a href=""https://www.wikidata.org/wiki/Q55946467"">Pietro Dolfin</a>",dramma,,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>","<a href=""https://www.wikidata.org/wiki/Q3982376"">Teatro Goldoni</a>",Francesco Niccolini,1672,12,True,"<a href=""https://www.wikidata.org/wiki/Q605062"">Antonio Sartorio</a>",False
"ADELAIDE. Dramma rappresentato in Firenze nel Teatro di Via del Cocomero l'anno 1725 — in Firenze nella Stamperia di S. A. R. per li Tartini, e Franchi. 1725 in 8 — Poesia del Dottor Antonio Salvi, Fiorentino. Replicato l'anno stesso nel Teatro Formagliari di Bologna. — Musica di Giuseppe Maria Buini, Bolognese, e di altri ed in Venezia nel Teatro di S. Cassiano l'anno 1729. In Venezia appr. Marino Rossetti. 1729 in 12. — Musica di Giuseppe Maria Orlandini, Bolognese.",Adelaide,,"<a href=""https://www.wikidata.org/wiki/Q604920"">Antonio Salvi</a>",dramma,,"<a href=""https://www.wikidata.org/wiki/Q2044"">Florence</a>","<a href=""https://www.wikidata.org/wiki/Q3982074"">Teatro Niccolini</a>","<a href=""https://www.wikidata.org/wiki/Q108555"">Giuseppe Tartini</a>",1725,8,True,"<a href=""https://www.wikidata.org/wiki/Q16571741"">Giuseppe Maria Buini</a>",False
"ADELAIDE REGIA PRINCIPESSA DI SUSA. Dramma rappresentato avanti l'Alt. Elettorale del Sereniss. Ferdinando Maria Duca dell'una, e dell'altra Baviera, &c. &c. l'anno 1669. in 4 — Poesia di Giambatista Rodoteo, Veneziano. — Replicato in Venezia nel teatro alli Saloni l'anno 1670. In Ven. per li Bertanni, 1670. in 12. — Musica di Giulio Riva, Medico Veneziano. — Questo. è il primo Dramma, che si sia recitato in quel Teatro.",Adelaide Regia Principessa Di Susa,,"<a href=""https://www.wikidata.org/wiki/Q76446342"">Giovanni Battista Rodoteo</a>",dramma,,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>",,Bertani,1669,4,True,"<a href=""https://www.wikidata.org/wiki/Q76446342"">Giovanni Battista Rodoteo</a>",False
"ADELAIDE. Tragedia (in prosa) — in Modona, per Bartolommeo Soliani. 1711 in 8 — del Dott. Alfonso Cavazzi, Modonese.",Adelaide,,"<a href=""https://www.wikidata.org/wiki/Q109838273"">Alfonso Cavazzi</a>",tragedia,prose,"<a href=""https://www.wikidata.org/wiki/Q279"">Modena</a>",,"<a href=""https://www.wikidata.org/wiki/Q122599216"">Bartolomeo Soliani II</a>",1711,8,False,,False
"ADELFI. Commedia di Terenzio di latino in volgare tradotta (in prosa) in Ven. per Jacob da Borgo Franco Pavese del Mese di Marzo 1538. in 8. con le altre cinque, del medesimo Autore. — d'Incerto.",Adelfi,,"<a href=""https://www.wikidata.org/wiki/Q24238356"">unknown</a>",commedia,prose,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>",,Jacob da Borgo Franco Pavese,1538,8,False,,True
"ADELFI. Commedia di Terenzio tradotta in Lingua Italiana (in prosa) in Ven. senza Stampatore, 1538. in 12. — con le altre cinque del medesimo Autore. — d'Incerto.",Adelfi,,"<a href=""https://www.wikidata.org/wiki/Q24238356"">unknown</a>",commedia,prose,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>",,unknown,1538,12,False,,True
"ADELFI. Commedia di Terenzio tradotta già in Italiano (in prosa) unita alle altre dello stesso Terenzio emendate, e corrette dalli Manucci Figliuoli di Aldo. — in Ven. nelle Case de Figliuoli di Aldo Manuccio. 1544. e 1546. in 8 — d'Incerto.",Adelfi,,"<a href=""https://www.wikidata.org/wiki/Q24238356"">unknown</a>",commedia,prose,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>",,unknown,1544,8,False,,True
"ADELFI. Commedia di Terenzio tradotta in Italiano (in prosa). — in Ven. presso il Giolito. 1554 in 12. — di Alberto Lollio, Ferrarese.",Adelfi,,"<a href=""https://www.wikidata.org/wiki/Q44814629"">Alberto Lollio</a>",commedia,prose,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>",,"<a href=""https://www.wikidata.org/wiki/Q1490296"">Gabriele Giolito de' Ferrari</a>",1554,12,False,,True
"ADELFI. Commedia di Terenzio tradotta in lingua Italiana (in prosa) con ispiegazioni, e comenti, e con le altre cinque di Terenzio. — in Venezia 1575 in 4 — di Giovanni Fabrini di Figline.",Adelfi,,"<a href=""https://www.wikidata.org/wiki/Q3767184"">Giovanni Fabrini</a>",commedia,prose,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>",,unknown,1575,4,False,,True
"ADELFI. Commedia di Terenzio tradotta (in verso). — In Roma, per Bartolommeo Zanetti. 1612 in 12. — Poesia di Cristoforo Rosario, di Spoletti.",Adelfi,,Cristoforo Rosario,commedia,,"<a href=""https://www.wikidata.org/wiki/Q220"">Rome</a>",,"<a href=""https://www.wikidata.org/wiki/Q59533189"">Bartolomeo Zanetti</a>",1612,12,False,,True
"ADELFI. Commedia di Terenzio tradotta (in verso) in Urbino, alle spese di Girolamo Mainnodi. 1736. fol. con il latino di rinçontro. — Poesia di Monsign. Niccolò Fortiguerra, di Pistoia.",Adelfi,,"<a href=""https://www.wikidata.org/wiki/Q3339581"">Niccolò Forteguerri</a>",commedia,,"<a href=""https://www.wikidata.org/wiki/Q2759"">Urbino</a>",,unknown,1736,,False,,True
"ADMETO. Tragedia recitata in Bologna l'anno 1626. nella Sala dell'Autore. — in Bologna, per gli Eredi del Rossi, 1629 in 12. — Ed ivi, per il Tebaldini. 1634 in 12. — Poesia dell'Accademico Caliginoso, cioè, Melchior Zoppio, Bolognese.",Admeto,,"<a href=""https://www.wikidata.org/wiki/Q3304995"">Melchiorre Zoppio</a>",tragedia,,"<a href=""https://www.wikidata.org/wiki/Q1891"">Bologna</a>",,Eredi del Rossi,1629,12,False,,False
"ADOALDO FURIOSO. Dramma rappresentato nel Teatro di S. Mosè di Venezia l'anno 1707 — in Ven. per Carlo Buonarrigo. 1727 in 12. — Poesia di Antonio Maria Lucchini, Veneziano. — Musica di Giacomo Macani, Romano.",Adoaldo Furioso,,"<a href=""https://www.wikidata.org/wiki/Q328132"">Antonio Maria Lucchini</a>",dramma,,"<a href=""https://www.wikidata.org/wiki/Q641"">Venice</a>","<a href=""https://www.wikidata.org/wiki/Q2575251"">Teatro San Moisè</a>",Carlo Buonarrigo,1727,12,True,Giacomo Macani,False
"ADONE. Favola Tragica Boschereccia. in Genova, per Pietro Gio. Calenzano, e Gio. Maria Faroni. 1636. in 12. — Poesia di Vincenzo Renieri, Accademico Filomato.",Adone,,Vincenzo Renieri,favola tragica,,"<a href=""https://www.wikidata.org/wiki/Q1449"">Genoa</a>",,"<a href=""https://www.wikidata.org/wiki/Q109835894"">Pietro Giovanni Calenzano</a>",1636,12,False,,False
